Name of Exercise,Workout_Type,Target Muscle Group,Body Part,Type of Muscle,Difficulty Level,Calories_Burned,Sets,Reps,Burns Calories (per 30 min),E,I,S,D,R
Incline Push-ups,Strength,Triceps,Arms,Anterior,3,1240.97,4,20,337.39,0.5911284599655,0.2581566919118337,0.18055555555555555,0.4313725490196078,0.8277099013001745
Dragon Flags,Yoga,"Shoulders, Triceps",Forearms,Quads,1,548.8,5,22,371.94,0.5246363663791109,0.21298940212642184,0.875,0.22222222222222218,0.5324094890806661
Bicycle Crunches,HIIT,"Core, Obliques",Arms,Upper,1,2647.54,5,24,337.87,0.8659730325594674,0.4721320704531419,0.9583333333333334,0.8888888888888887,0.546610440659632
Tricep Dips,Strength,"Biceps, Forearms",Chest,Anterior,1,1310.07,4,19,330.23,0.5904315941573528,0.46721587629591255,0.5916666666666667,0.47058823529411753,0.7319453944608281
Incline Push-ups,Cardio,"Chest, Triceps, Shoulders",Shoulders,Lats,2,2056.03,4,21,343.18,0.7612863632281455,0.7748547800621549,0.30833333333333335,0.9738562091503268,0.7019185324141697
Bicycle Crunches,HIIT,"Chest, Triceps, Shoulders",Chest,Posterior,2,2504.42,5,15,347.17,0.8564861946652302,0.7922789805810012,0.2708333333333333,0.8235294117647057,0.5296673402327223
Dead Bugs,HIIT,"Quadriceps, Hamstrings, Glutes",Forearms,Lateral,3,1136.37,5,25,375.83,0.6467405083452228,0.2617434863034729,0.3055555555555555,0.2941176470588235,0.5481522905345709
Incline Push-ups,Yoga,"Shoulders, Triceps",Arms,Posterior,2,1208.07,4,15,331.15,0.5723880074072554,0.7803979990528939,0.20833333333333334,0.6928104575163399,0.6445620617235264
Bear Crawls,Cardio,"Lower Abs, Hip Flexors",Abs,Wrist Extensors,1,792.0,5,18,341.54,0.5119051877415088,0.42151021501414093,0.7083333333333334,0.2679738562091503,0.8994318574885651
Calf Raises,HIIT,"Back, Biceps",Legs,Anterior,2,1293.52,5,17,348.8,0.6239142861660776,0.3723271880821964,0.3125,0.3790849673202614,0.576799109935165
Dragon Flags,Yoga,"Chest, Triceps",Legs,Lats,3,813.6,5,22,345.11,0.5231677218169954,0.5057719232131254,0.2638888888888889,0.4183006535947712,0.4930516485898766
Frog Jumps,Yoga,"Triceps, Chest",Chest,Wrist Extensors,1,1295.8,4,23,351.95,0.6305845423720426,0.4860867305564372,0.725,0.764705882352941,0.5480096306306927
Inverted Rows,HIIT,"Core, Shoulders, Hips",Legs,Wrist Flexors,2,1647.25,4,22,331.78,0.6591530457926352,0.7680739611632923,0.325,0.4967320261437908,0.6748941526503451
Deadlifts,Cardio,Quadriceps,Chest,Grip Strength,2,1251.87,4,15,368.65,0.6550393988482234,0.8533669475076779,0.20833333333333334,0.6078431372549018,0.6362557240907258
Zottman Curls,Cardio,"Upper Back, Rear Deltoids",Forearms,Lats,3,1891.34,4,23,363.86,0.7700929595418335,0.9126929114674014,0.2138888888888889,0.869281045751634,0.417373124878335
Dips,Strength,"Rear Deltoids, Upper Back",Shoulders,Wrist Flexors,1,1134.0,4,22,348.68,0.5926143966248856,0.5925873407910041,0.6916666666666667,0.3660130718954248,0.5244432811282377
Zottman Curls,HIIT,Shoulders,Back,Posterior,1,2802.8,5,16,340.63,0.9016616054893244,0.5253021907860796,0.625,0.96078431372549,0.6904265922034623
Bicep Curls,Strength,"Legs, Core",Legs,Wrist Extensors,1,1401.66,4,25,363.78,0.6745813845395127,0.2764298068073258,0.7916666666666666,0.5294117647058822,0.7815168458149585
Frog Jumps,Cardio,"Legs, Core",Legs,Wrist Flexors,3,1852.62,4,17,359.35,0.7536387143976475,0.39715074258559613,0.14722222222222223,0.8431372549019608,0.7657626885838149
Step-ups,Strength,"Back, Biceps",Shoulders,Middle,3,2106.0,5,21,347.78,0.780109170059734,0.6308857804609891,0.25,0.8562091503267972,0.5388091053136337
Push Ups,Cardio,"Quadriceps, Calves, Glutes",Forearms,Lower,2,1398.1,4,20,344.81,0.636392113031527,0.5940348473026877,0.2916666666666667,0.633986928104575,0.6014563909809294
Plyometric Push-ups,Strength,"Lower Abs, Hip Flexors",Chest,Lower,2,1243.04,5,16,369.29,0.65458499005349,0.539002653086244,0.2916666666666667,0.4313725490196078,0.8218453381895519
Bear Crawls,Strength,"Quadriceps, Hamstrings, Glutes",Arms,Middle,2,722.7,5,24,340.53,0.49641431011270015,0.6538761453232196,0.4583333333333333,0.15686274509803919,0.4579526869554592
Glute Bridges,Strength,"Back, Core, Shoulders",Forearms,Lower Chest,3,1371.6,4,23,355.36,0.6520849722775028,0.40131907439871867,0.2138888888888889,0.5098039215686274,0.6344976688811521
Bicycle Crunches,Strength,"Chest, Triceps, Shoulders",Arms,Wrist Flexors,3,1456.78,5,23,362.21,0.6822114264286926,0.8355428456891976,0.2777777777777778,0.5620915032679737,0.4953521000365041
Plyometric Push-ups,HIIT,Quadriceps,Legs,Grip Strength,2,751.56,5,21,340.85,0.5026666146941512,0.17530878637313552,0.3958333333333333,0.08496732026143794,0.7887634557916232
Resistance Band Pull-Aparts,Yoga,Calves,Legs,Lower Chest,3,764.9,5,21,368.58,0.5600752973850294,0.4430924845356398,0.25,0.43790849673202603,0.5736993058952851
Step-ups,Yoga,"Core, Shoulders, Hips",Shoulders,Lateral,1,862.56,4,24,365.16,0.5723322803956886,0.4578602604503195,0.7583333333333333,0.4640522875816993,0.4906477572543648
Lateral Raises,Cardio,"Quadriceps, Hamstrings, Glutes",Shoulders,Wrist Extensors,1,891.22,5,21,374.87,0.5971058864484695,0.7472042927516622,0.8333333333333334,0.33986928104575165,0.4338747096908384
Prone Cobras,Yoga,Full Body,Legs,Posterior,1,1531.15,4,25,368.1,0.7083353588813603,0.27058782667449377,0.7916666666666666,0.96078431372549,0.9014107546540038
Face Pulls,Cardio,"Shoulders, Triceps",Chest,Posterior,1,501.14,4,20,338.13,0.4485269756877531,0.47136333532163427,0.625,0.052287581699346365,0.8000296885641875
Pull-ups,HIIT,"Core, Shoulders, Legs",Arms,Lateral,2,1731.87,4,16,356.77,0.725025924582208,0.23970439176493916,0.225,0.6143790849673202,0.6979192089044733
Bulgarian Split Squats,Yoga,Calves,Abs,Lower,3,821.48,5,25,330.35,0.4955275899566502,0.6922066707262063,0.3055555555555555,0.4248366013071894,0.48913220392184986
Dead Bugs,Cardio,Shoulders,Forearms,Lats,1,1284.26,4,25,380.26,0.684294867501813,0.955016694160445,0.7916666666666666,0.5555555555555556,0.36597457244085807
Push-ups,HIIT,Core,Abs,Lateral,1,1834.8,5,20,357.72,0.7469468431085844,0.6915882391128889,0.7916666666666666,0.5882352941176469,0.6227571817745083
Bulgarian Split Squats,Strength,"Upper Chest, Triceps",Forearms,Wrist Extensors,2,1285.2,5,24,355.55,0.6356361958743546,0.35779332808229486,0.4583333333333333,0.4575163398692809,0.873038479727005
Windshield Wipers,Yoga,"Lower Back, Glutes",Legs,Posterior,3,916.57,4,15,353.81,0.5604150568359493,0.5671329744800673,0.125,0.5882352941176469,0.6653046626905497
Scissors Kicks,Strength,"Glutes, Hamstrings, Core",Legs,Middle,1,2301.35,5,24,335.83,0.7945285667300557,0.5076335423002675,0.9583333333333334,0.9673202614379085,0.7783789498651333
Resistance Band Pull-Aparts,Strength,"Back, Biceps",Abs,Middle,3,980.99,5,16,361.27,0.5877047226232746,0.8951416474040745,0.18055555555555555,0.326797385620915,0.6067280790952388
Superman,HIIT,"Glutes, Hamstrings, Core",Arms,Quads,3,1768.8,4,15,333.32,0.6858659554659552,0.6365078979990247,0.125,0.5555555555555556,0.49773852531743157
Bicep Curls,Yoga,"Obliques, Core",Legs,Lower Chest,1,534.11,5,22,337.6,0.45389949676645286,0.17441153534273537,0.875,0.20915032679738563,0.8170306402907817
Kettlebell Swings,HIIT,"Chest, Triceps",Forearms,Lateral,3,1584.0,4,21,379.65,0.741456326486581,0.24717170486246276,0.19166666666666668,0.4640522875816993,0.40680483174684756
Mountain Climbers,Cardio,"Upper Chest, Triceps",Arms,Lateral,1,1112.67,5,19,368.99,0.6286055771001055,0.9094504457754466,0.75,0.43790849673202603,0.6462564186584037
Dips,Strength,"Glutes, Hamstrings",Forearms,Wrist Extensors,1,1376.1,5,25,351.25,0.6448374254154619,0.3878534598473497,1.0,0.5882352941176469,0.7791439635213641
Face Pulls,Cardio,"Rear Deltoids, Upper Back",Forearms,Upper,1,1352.47,5,20,358.08,0.6537362072195789,0.36415485529172326,0.7916666666666666,0.6013071895424835,0.8819613890258866
Bicycle Crunches,Strength,"Core, Shoulders, Legs",Arms,Lower Chest,1,1405.17,3,12,219.64,0.3903581683223516,0.696490853686817,0.25833333333333336,0.5294117647058822,0.9163470120561475
Bulgarian Split Squats,Yoga,"Chest, Triceps, Shoulders",Forearms,Lower,3,542.18,4,15,371.19,0.5218648321769083,0.42631760987494427,0.125,0.21568627450980388,0.3850501746519086
Glute Bridges,HIIT,Full Core,Chest,Wrist Flexors,1,1282.6,4,19,337.74,0.5999267139896269,0.5070307910915142,0.5916666666666667,0.37254901960784315,0.5140729974931161
Dead Bugs,Yoga,"Legs, Shoulders, Core",Chest,Lats,2,1015.2,5,20,358.88,0.5896422334032576,0.3596897012618129,0.375,0.6013071895424835,0.8819123573294418
Plank,Cardio,Triceps,Back,Wrist Flexors,1,898.42,4,24,374.87,0.5985079139359973,0.42573809080076463,0.7583333333333333,0.3464052287581699,0.46393800431254306
Lunges,Cardio,Core,Forearms,Posterior,2,1171.2,4,25,359.09,0.6204345810220209,0.2637306843758121,0.375,0.4771241830065359,0.6308757522100061
Plyometric Push-ups,HIIT,"Legs, Core",Legs,Middle,1,1884.45,5,17,367.14,0.7752345355833583,0.21223258547159332,0.6666666666666666,0.6143790849673202,0.7688777577607069
Turkish Get-ups,Strength,"Glutes, Hamstrings, Core",Back,Triceps,3,1305.61,5,21,344.03,0.6168401558674425,0.6337247710629907,0.25,0.5424836601307189,0.5276526501518576
Scissors Kicks,HIIT,Full Body,Arms,Upper,1,1411.22,5,15,345.94,0.641180473387674,0.8639210598269105,0.5833333333333334,0.3790849673202614,0.7183834296178164
Deadlifts,HIIT,"Quadriceps, Calves, Glutes",Legs,Triceps,3,606.65,5,25,338.17,0.46915158404485136,0.9703280195274271,0.3055555555555555,0.006535947712418316,0.3536326089303463
Box Jumps,Yoga,"Core, Shoulders, Hips",Legs,Lower Chest,3,755.37,4,22,348.88,0.5192805955426074,0.592904863409639,0.20277777777777778,0.3660130718954248,0.42677373673775854
Glute Bridges,Strength,"Back, Biceps",Arms,Lower Chest,1,1521.53,5,15,352.68,0.6759829672424663,0.39775457847432544,0.5833333333333334,0.6013071895424835,0.7854061010183533
Seated Rows,Yoga,"Chest, Triceps, Shoulders",Legs,Upper,3,1512.04,5,16,370.53,0.7094172751880048,0.24392521489233504,0.18055555555555555,0.9477124183006534,0.8588912300647896
Deadlift,HIIT,"Shoulders, Upper Back",Forearms,Lateral,2,1659.21,5,21,345.67,0.6889369028165886,0.7710456748868251,0.3958333333333333,0.5751633986928104,0.4782694675897817
Incline Push-ups,Cardio,"Legs, Shoulders, Core",Back,Wrist Extensors,1,686.4,3,15,145.24,0.10333610906927948,0.5874900195281627,0.3333333333333333,0.18954248366013077,0.6923419477188484
Turkish Get-ups,Strength,"Obliques, Core",Legs,Wrist Extensors,1,1080.0,4,17,342.66,0.5702000759839237,0.5377681995225566,0.525,0.3333333333333333,0.5509262886500874
Pull-ups,Cardio,Triceps,Forearms,Wrist Extensors,2,1238.4,4,17,343.8,0.6032980013926472,0.817836323067281,0.24166666666666667,0.5228758169934641,0.6772418492549176
Dips,HIIT,"Glutes, Hamstrings, Core",Arms,Wrist Extensors,3,1518.0,5,20,346.63,0.6633371719242808,0.5526504981494895,0.23611111111111113,0.4313725490196078,0.7201966323047099
Bicep Curls,Cardio,"Glutes, Hamstrings, Core",Back,Grip Strength,1,1410.02,4,25,353.41,0.6557119824054074,0.32154347176534737,0.7916666666666666,0.6405228758169934,0.7998518893087985
Burpees,Cardio,Lower Abs,Shoulders,Triceps,3,2056.03,4,16,367.76,0.8098711197113839,0.5198443611939292,0.1361111111111111,0.9738562091503268,0.6473257974287685
Glute Bridges,HIIT,"Back, Hamstrings, Glutes",Shoulders,Upper,3,1790.8,3,12,164.63,0.35671776515665654,0.21489071678907115,0.058333333333333334,0.6470588235294117,0.6010451611023377
Reverse Lunges,HIIT,"Glutes, Hamstrings",Legs,Lats,1,1786.46,4,24,334.01,0.6906686693236068,0.39234819317360914,0.7583333333333333,0.5620915032679737,0.842608959420253
Dead Bugs,Strength,"Upper Back, Rear Deltoids",Arms,Lateral,2,1370.46,5,22,330.43,0.602586419127082,0.2671598041145871,0.4166666666666667,0.5098039215686274,0.8996163273299801
Push Ups,Strength,"Quadriceps, Hamstrings, Glutes",Forearms,Grip Strength,2,1336.97,4,10,278.88,0.4941714640370281,0.5771181479420857,0.125,0.4901960784313726,0.3845733851806873
Bulgarian Split Squats,Strength,"Back, Core, Shoulders",Shoulders,Grip Strength,2,1056.41,5,18,329.95,0.5404839396822629,0.7521269183211957,0.3333333333333333,0.3790849673202614,0.6750824131574447
Box Jumps,HIIT,"Chest, Triceps, Shoulders",Legs,Middle,1,2674.1,4,23,339.97,0.8752958100700686,0.27988463087323345,0.725,0.9019607843137255,0.7231708320774974
Burpees,Strength,"Shoulders, Triceps",Abs,Anterior,2,1578.11,4,25,337.05,0.6561063540582365,0.5176675539730594,0.375,0.633986928104575,0.8381889195909998
Jumping Jacks,HIIT,"Glutes, Hamstrings",Shoulders,Lats,2,1914.0,4,25,354.85,0.7566963118218012,0.6615636660324358,0.375,0.6274509803921569,0.7245617467981713
Face Pulls,Cardio,"Core, Shoulders, Legs",Chest,Upper,1,819.14,5,21,337.01,0.5082360676455945,0.3941047743578327,0.8333333333333334,0.28758169934640526,0.7920510873163313
Push Ups,Strength,"Back, Core, Shoulders",Legs,Lower,1,1415.7,4,17,348.22,0.6465594874128042,0.6799141586146902,0.525,0.6143790849673202,0.7080412817286055
Bench Press,Cardio,"Core, Obliques",Shoulders,Grip Strength,2,1820.0,5,20,327.57,0.684470495440515,0.4871492345156375,0.375,0.8235294117647057,0.7043732127092989
Flutter Kicks,Strength,"Core, Shoulders, Hips",Forearms,Lower,3,504.9,5,17,361.88,0.49620332649607224,0.2113826129751384,0.19444444444444445,0.013071895424836631,0.6365721211092638
Incline Push-ups,Yoga,Triceps,Arms,Lower,3,1066.49,4,25,364.13,0.6100068667163515,0.2414534794898839,0.23611111111111113,0.6470588235294117,0.6009481659717997
Frog Jumps,Yoga,"Core, Shoulders, Hips",Shoulders,Lats,3,376.54,4,24,347.44,0.44266623002400585,0.1327480846351161,0.225,0.052287581699346365,0.7145847829229108
Flutter Kicks,HIIT,"Glutes, Hamstrings, Core",Abs,Wrist Flexors,2,1528.65,4,19,359.2,0.6902568296765274,0.19728294205676658,0.275,0.43790849673202603,0.6725139258764377
Tricep Extensions,Cardio,Full Body,Legs,Wrist Extensors,2,966.37,4,20,350.93,0.5644198140041898,0.49754561576246414,0.2916666666666667,0.33986928104575165,0.582094594869668
Bulgarian Split Squats,HIIT,Triceps,Shoulders,Wrist Flexors,2,1538.1,3,20,190.55,0.3587438914496697,0.4966793596799335,0.20833333333333334,0.5098039215686274,0.59900056814383
Jumping Jacks,Strength,"Shoulders, Triceps",Chest,Triceps,2,1356.3,5,21,338.25,0.6152860876489225,0.5215110969589452,0.3958333333333333,0.5751633986928104,0.4922938142824209
Dead Bugs,HIIT,"Quadriceps, Glutes",Arms,Wrist Flexors,3,1613.08,4,20,365.13,0.7184187699745532,0.5812474883919012,0.18055555555555555,0.4771241830065359,0.5317458493095718
Lat Pulldowns,Cardio,"Obliques, Core",Abs,Upper,2,608.3,5,16,362.18,0.5169309781524256,0.5381811053932027,0.2916666666666667,0.130718954248366,0.31310427903335114
Pull-ups,Strength,"Shoulders, Upper Back",Back,Quads,1,890.19,5,22,347.31,0.5424303028145604,0.8822360421155233,0.875,0.2679738562091503,0.6600756866607579
Shoulder Press,Cardio,"Triceps, Chest",Arms,Triceps,1,1697.81,3,12,180.28,0.3695439351686833,0.3027331293193594,0.25833333333333336,0.7450980392156863,0.6418329946116166
Plank,Strength,"Quadriceps, Hamstrings, Glutes",Back,Triceps,2,1387.26,4,15,354.73,0.653889125895893,0.5625461196119547,0.20833333333333334,0.5947712418300654,0.766579486798115
Step-ups,Strength,"Triceps, Chest",Arms,Lateral,3,633.6,4,23,328.55,0.4553845868109637,0.37492550316363144,0.2138888888888889,0.0980392156862745,0.34357711219561415
Shoulder Press,HIIT,"Back, Core, Shoulders",Back,Wrist Extensors,3,1589.42,5,25,333.7,0.6516871053168902,0.11063408536080702,0.3055555555555555,0.5359477124183007,0.3707517810932912
Plyo Squats,HIIT,"Chest, Triceps",Forearms,Grip Strength,2,1731.87,4,17,347.89,0.7074737424190203,0.6822375045990787,0.24166666666666667,0.6143790849673202,0.6087625969654229
Lateral Raises,Yoga,"Core, Obliques",Back,Wrist Extensors,1,1035.07,4,17,349.1,0.5741803202721625,0.5722386823764692,0.525,0.6209150326797384,0.567584138433501
Plyometric Push-ups,Cardio,"Glutes, Hamstrings",Chest,Middle,3,537.29,5,21,332.32,0.4440822929358731,0.6906389788721524,0.25,0.07843137254901963,0.6083860864742386
Thrusters,Strength,"Quadriceps, Glutes",Arms,Lats,3,1364.96,5,21,337.46,0.6154109034532996,0.5205418025578034,0.25,0.5816993464052287,0.39169015954164876
Reverse Lunges,Yoga,"Upper Chest, Triceps",Back,Lower,2,694.89,5,19,351.65,0.5129787385879179,0.25374274477409986,0.3541666666666667,0.3660130718954248,0.6635101599291283
Jumping Jacks,Yoga,"Legs, Core",Back,Upper,3,865.44,4,19,329.99,0.5033761717196055,0.4715667887152655,0.16944444444444443,0.4640522875816993,0.626341241295754
Flutter Kicks,HIIT,"Quadriceps, Hamstrings, Glutes",Abs,Upper,1,2429.13,5,20,355.45,0.8581914950274865,0.219368815738957,0.7916666666666666,0.7908496732026142,0.812800944088127
Glute Bridges,Strength,"Chest, Triceps, Shoulders",Legs,Upper,1,1452.02,4,24,352.21,0.6615185595741139,0.6805578353319378,0.7583333333333333,0.5555555555555556,0.7708957364906966
Push-ups,HIIT,"Shoulders, Upper Back",Back,Anterior,3,2855.6,5,22,348.41,0.9273210657615554,0.6491214290396099,0.2638888888888889,0.9869281045751632,0.7336745832980768
Windshield Wipers,HIIT,"Full Body, Core, Shoulders",Abs,Triceps,1,2245.1,4,21,336.17,0.7842472699944976,0.5503658486860016,0.6583333333333333,0.7058823529411765,0.5291623097096287
Turkish Get-ups,Yoga,"Legs, Core",Chest,Wrist Flexors,3,1349.4,4,25,334.3,0.6061349194661011,0.401727736053531,0.23611111111111113,0.8104575163398693,0.5065572046006616
Russian Twists,Cardio,"Back, Biceps",Shoulders,Upper,1,1104.92,4,15,336.67,0.5632128323272994,0.5273031599137922,0.4583333333333333,0.4313725490196078,0.49829389809297564
Pistol Squats,HIIT,"Quadriceps, Glutes",Arms,Wrist Extensors,3,1356.43,5,15,340.84,0.6204307884983771,0.7494646459910649,0.16666666666666666,0.4117647058823529,0.6443208805955971
Step-ups,HIIT,"Triceps, Chest",Legs,Lower,3,1573.0,5,21,343.88,0.6686114621219388,0.64271696126873,0.25,0.5294117647058822,0.5424328933506384
Bicep Curls,HIIT,"Legs, Shoulders, Core",Abs,Posterior,3,1492.84,4,22,332.96,0.631417782533092,0.3221301083386037,0.20277777777777778,0.4183006535947712,0.41924659632762573
Deadlifts,HIIT,"Shoulders, Triceps",Abs,Posterior,3,1595.87,5,25,340.08,0.6655537777115323,0.4084861187430173,0.3055555555555555,0.47058823529411753,0.6506644670374464
Zottman Curls,Strength,"Glutes, Hamstrings",Arms,Grip Strength,1,1380.1,5,25,333.04,0.6096224965581218,0.47576928326750784,1.0,0.5163398692810457,0.8854653607893991
Face Pulls,Yoga,Full Core,Shoulders,Lower,2,900.0,4,24,352.38,0.5543619125148939,0.34594705629464395,0.35833333333333334,0.4967320261437908,0.7625584683765493
Face Pulls,Strength,"Upper Chest, Triceps",Legs,Middle,2,952.13,5,20,369.91,0.5991627279722473,0.451372909581017,0.375,0.30718954248366004,0.2479509100728473
Glute Bridges,Cardio,Full Core,Back,Grip Strength,2,1015.9,5,19,371.57,0.6148615587090105,0.634199310718473,0.3541666666666667,0.37254901960784315,0.5466568212207062
Step-ups,HIIT,"Legs, Core",Forearms,Grip Strength,1,798.6,4,15,343.2,0.5164715307752215,0.26209223742773213,0.4583333333333333,0.11111111111111113,0.62877712820934
Push-ups,Cardio,Lower Abs,Arms,Lower,2,1778.4,5,18,365.77,0.7518759010343983,0.32448280770355475,0.3333333333333333,0.7973856209150325,0.9076154316588484
Reverse Lunges,Cardio,"Legs, Shoulders, Core",Legs,Lats,3,1106.76,5,16,369.32,0.6281070232439412,0.5375083942711061,0.18055555555555555,0.4313725490196078,0.7233250708061532
Box Jumps,HIIT,"Full Body, Core, Shoulders",Back,Lower,1,1940.4,4,24,344.84,0.7420513424006744,0.24452142339421956,0.7583333333333333,0.6405228758169934,0.6032233464507423
Mountain Climbers,Strength,"Chest, Triceps, Shoulders",Arms,Wrist Flexors,3,1387.26,4,19,362.42,0.6690891575214464,0.7039423895509201,0.16944444444444443,0.5947712418300654,0.31069116717896406
Bicycle Crunches,Cardio,"Back, Core, Shoulders",Forearms,Wrist Extensors,3,1913.6,5,18,332.53,0.7125007743470038,0.7771505263811731,0.20833333333333334,0.8823529411764705,0.6647751859504738
Thrusters,Yoga,"Core, Shoulders, Legs",Back,Triceps,2,569.66,5,15,359.23,0.503575802552535,0.3938565631887572,0.2708333333333333,0.24183006535947713,0.4727250923604486
Seated Rows,HIIT,"Legs, Shoulders, Core",Shoulders,Triceps,2,1872.84,5,20,358.17,0.7552436903583916,0.36584138166243574,0.375,0.6078431372549018,0.8838245934907898
Flutter Kicks,Cardio,"Triceps, Chest",Arms,Lateral,1,440.8,5,25,338.4,0.4373108876525317,0.9727585765057045,1.0,0.006535947712418316,0.5503029235916506
Shoulder Press,Strength,"Back, Biceps",Abs,Posterior,2,2320.16,5,18,348.13,0.8225035077537457,0.10957638945484728,0.3333333333333333,0.9738562091503268,0.6210781820613399
Flutter Kicks,Cardio,"Chest, Triceps",Forearms,Posterior,2,1084.8,5,16,345.62,0.5769854883633382,0.5939415940134747,0.2916666666666667,0.4183006535947712,0.7137790779325995
Bear Crawls,HIIT,"Glutes, Hamstrings",Shoulders,Triceps,3,2717.0,5,25,332.86,0.8695959518701621,0.5490470418663433,0.3055555555555555,0.9215686274509802,0.9193106926305223
Thrusters,Strength,"Chest, Triceps",Forearms,Lats,2,792.0,4,18,333.55,0.49611217698882065,0.36557929203268397,0.25833333333333336,0.20261437908496732,0.6183538977515969
Lat Pulldowns,Cardio,Lower Abs,Arms,Lateral,1,997.57,4,16,358.64,0.585734830017506,0.9375987801455796,0.49166666666666664,0.3594771241830066,0.5409103271396488
Mountain Climbers,Cardio,"Back, Hamstrings, Glutes",Chest,Lats,2,1008.84,5,15,362.02,0.5946102906532849,0.5129983316317659,0.2708333333333333,0.3660130718954248,0.5085927811595418
Lat Pulldowns,Strength,"Shoulders, Triceps",Chest,Middle,2,2119.33,5,21,348.37,0.7838710604554248,0.6245346261585404,0.3958333333333333,0.8627450980392157,0.5393767376214831
Squats,Yoga,"Triceps, Chest",Abs,Wrist Extensors,2,1271.4,5,16,333.94,0.590234713398655,0.31811814252280546,0.2916666666666667,0.7450980392156863,0.7345131111326364
Frog Jumps,Yoga,Calves,Arms,Lats,2,1072.8,4,23,376.35,0.6353896044736256,0.2549063223526599,0.3416666666666667,0.6535947712418301,0.6655600719156085
Tricep Dips,Cardio,Quadriceps,Shoulders,Lats,2,2007.2,5,15,335.7,0.7369929444615888,0.5605304313697709,0.2708333333333333,0.9411764705882353,0.7690668933570639
Plyo Squats,Yoga,Quadriceps,Abs,Quads,2,1503.08,5,25,351.54,0.6701369511225643,0.3843939318735103,0.4791666666666667,0.9411764705882353,0.6941159911944392
Mountain Climbers,HIIT,Triceps,Chest,Triceps,1,749.52,4,21,353.44,0.5271547309414388,0.550833867673814,0.6583333333333333,0.08496732026143794,0.8049899907558755
Dead Bugs,HIIT,"Shoulders, Upper Back",Abs,Lats,2,943.8,5,22,350.43,0.5590365487376455,0.3670445931012768,0.4166666666666667,0.18954248366013077,0.5934144640433998
Lat Pulldowns,Strength,"Lower Chest, Triceps",Forearms,Anterior,1,2012.4,5,15,337.09,0.740752989824972,0.14539540163211306,0.5833333333333334,0.803921568627451,0.5506373208261548
Face Pulls,Strength,"Lower Chest, Triceps",Chest,Upper,3,1116.67,5,23,360.86,0.6133147469144921,0.2823424571634312,0.2777777777777778,0.4183006535947712,0.6464142528929289
Bear Crawls,Strength,"Core, Lower Back",Abs,Wrist Flexors,2,1140.98,5,23,339.22,0.5752749759079796,0.5438337296450948,0.4375,0.37254901960784315,0.667388873218636
Step-ups,HIIT,"Upper Back, Rear Deltoids",Forearms,Lateral,1,1343.03,4,17,335.78,0.6078198782855835,0.5149595410546202,0.525,0.3464052287581699,0.48805165793928607
Step-ups,HIIT,Full Body,Forearms,Posterior,1,1821.6,4,16,357.22,0.7433881608362254,0.26289121701639745,0.49166666666666664,0.5816993464052287,0.8592673279776148
Bicep Curls,Strength,"Back, Hamstrings, Glutes",Legs,Lower,2,1138.5,5,21,368.17,0.6320145410974431,0.44974052360535255,0.3958333333333333,0.4313725490196078,0.669378822537824
Bench Press,Yoga,Core,Arms,Middle,3,1063.82,5,22,328.7,0.5394561132751156,0.2730830975450342,0.2638888888888889,0.6470588235294117,0.5015879987466627
Pull-ups,Yoga,Full Core,Shoulders,Lower,2,751.72,4,19,331.88,0.4849676949592124,0.9081876323559351,0.275,0.4248366013071894,0.3942880461264404
Step-ups,HIIT,"Core, Shoulders, Legs",Forearms,Lateral,3,2343.4,5,15,336.44,0.8039225209344718,0.31918806917644416,0.16666666666666666,0.7516339869281045,0.7158712568700362
Reverse Lunges,HIIT,"Core, Shoulders, Hips",Arms,Anterior,2,1727.76,5,17,354.35,0.719442235599191,0.8889567356282408,0.3125,0.5359477124183007,0.4686934128475081
Plank,Cardio,"Lower Back, Glutes",Forearms,Wrist Flexors,1,1602.83,5,17,364.52,0.7152171038400514,0.266122270549905,0.6666666666666666,0.6862745098039216,0.8503681652518706
Reverse Lunges,Cardio,"Chest, Triceps, Shoulders",Legs,Wrist Flexors,2,1370.51,4,17,345.58,0.6325416013493823,0.8205267510349296,0.24166666666666667,0.6143790849673202,0.7746254746892504
Calf Raises,HIIT,"Quadriceps, Hamstrings, Glutes",Chest,Posterior,2,1887.6,4,21,350.23,0.7424236658096578,0.4982829622754266,0.30833333333333335,0.6143790849673202,0.6807683297418523
Seated Rows,Strength,Triceps,Forearms,Posterior,3,662.7,4,15,363.31,0.5297576294370654,0.3761617188934099,0.125,0.11764705882352944,0.5519509446105606
Frog Jumps,Yoga,"Triceps, Chest",Arms,Wrist Flexors,2,1459.72,4,15,358.32,0.6750949583042529,0.1324033757669566,0.20833333333333334,0.9019607843137255,0.5114596042635488
Bird Dogs,HIIT,"Quadriceps, Hamstrings, Glutes",Abs,Upper,2,930.85,5,21,345.36,0.546493499271918,0.3851760782536169,0.3958333333333333,0.18300653594771243,0.41190733400109025
Renegade Rows,Cardio,"Rear Deltoids, Upper Back",Legs,Lower Chest,2,1094.4,4,20,366.34,0.6198099500608135,0.35265392257687456,0.2916666666666667,0.4248366013071894,0.6937336932582754
Bench Press,HIIT,Full Core,Chest,Posterior,1,1836.33,5,17,356.17,0.7441810484594878,0.10749484384111298,0.6666666666666666,0.5882352941176469,0.5733136704083406
