Name of Exercise,Workout_Type,Target Muscle Group,Body Part,Type of Muscle,Difficulty Level,Sets,Reps,Burns Calories (per 30 min),pseudo_target
Flutter Kicks,HIIT,"Shoulders, Triceps",Forearms,Lower,3,4,21,343.64,0.44097483
Kettlebell Swings,Cardio,"Core, Obliques",Chest,Lower Chest,2,4,15,339.27,0.44097352
Deadlift,HIIT,"Upper Chest, Triceps",Shoulders,Anterior,3,5,17,327.13,0.4409731
Leg Raises,HIIT,"Core, Lower Back",Shoulders,Lower,3,3,10,131.15,0.44096816
Mountain Climbers,Cardio,Lower Abs,Legs,Triceps,2,5,20,365.26,0.44096595
Windshield Wipers,Cardio,"Rear Deltoids, Upper Back",Back,Middle,2,5,19,369.45,0.44096568
Bird Dogs,HIIT,"Chest, Triceps",Shoulders,Middle,3,4,15,344.07,0.4409648
Flutter Kicks,HIIT,"Quadriceps, Calves, Glutes",Abs,Lower,3,5,16,341.12,0.44096413
Squats,HIIT,"Quadriceps, Calves, Glutes",Shoulders,Wrist Flexors,3,5,19,356.39,0.44096237
Jumping Jacks,Cardio,"Rear Deltoids, Upper Back",Abs,Lower Chest,2,4,18,343.34,0.44095746
Flutter Kicks,HIIT,"Back, Biceps",Legs,Posterior,3,5,15,356.4,0.44095227
Prone Cobras,Cardio,"Core, Obliques",Arms,Wrist Extensors,2,5,17,363.27,0.44095203
Thrusters,Cardio,Full Core,Forearms,Triceps,2,5,23,346.94,0.44095147
Lat Pulldowns,HIIT,"Back, Hamstrings, Glutes",Shoulders,Grip Strength,3,5,22,350.79,0.44095057
Decline Push-ups,HIIT,"Chest, Triceps, Shoulders",Arms,Lower Chest,3,5,23,362.67,0.4409429
Glute Bridges,HIIT,"Obliques, Core",Shoulders,Lower Chest,3,5,16,329.71,0.44094238
Superman,Cardio,"Back, Hamstrings, Glutes",Forearms,Wrist Extensors,2,4,20,365.21,0.44094047
Scissors Kicks,HIIT,Full Core,Legs,Lower,3,5,25,328.25,0.44093862
Bear Crawls,HIIT,"Lower Abs, Hip Flexors",Abs,Wrist Extensors,3,4,22,342.52,0.4409347
Frog Jumps,HIIT,"Back, Hamstrings, Glutes",Legs,Triceps,3,4,23,362.55,0.44092563
Burpees,Cardio,Full Core,Back,Wrist Flexors,2,5,15,349.0,0.44092423
Bicycle Crunches,Cardio,Full Core,Back,Wrist Flexors,2,4,15,365.9,0.44092423
Mountain Climbers,HIIT,"Glutes, Hamstrings",Arms,Lower,3,4,20,358.34,0.44092113
Push Ups,Cardio,"Core, Lower Back",Abs,Lateral,2,3,15,335.04,0.4409187
Face Pulls,HIIT,"Upper Back, Rear Deltoids",Abs,Lateral,3,3,20,195.28,0.44091707
Dead Bugs,HIIT,"Core, Shoulders, Legs",Chest,Upper,3,5,18,347.53,0.44091484
Glute Bridges,Cardio,"Upper Chest, Triceps",Chest,Lower Chest,2,4,19,360.84,0.4409148
Thrusters,Strength,"Quadriceps, Glutes",Abs,Lats,3,4,21,359.8,0.440912
Thrusters,Strength,"Quadriceps, Glutes",Arms,Lats,3,5,21,337.46,0.440912
Plyo Squats,Strength,"Back, Hamstrings, Glutes",Arms,Anterior,2,5,16,347.47,0.44091052
Windshield Wipers,Cardio,"Biceps, Forearms",Abs,Lateral,2,4,23,334.94,0.44091025
Reverse Lunges,Strength,"Quadriceps, Glutes",Chest,Wrist Flexors,3,4,21,341.31,0.4409097
Lateral Raises,HIIT,Core,Legs,Upper,3,4,17,366.46,0.44090834
Shoulder Press,Cardio,"Back, Core, Shoulders",Forearms,Lower Chest,2,5,15,347.68,0.44090742
Plank,Cardio,"Back, Biceps",Forearms,Middle,2,4,22,367.85,0.44090313
Leg Press,Strength,"Quadriceps, Glutes",Chest,Wrist Flexors,3,4,19,357.54,0.44090223
Step-ups,Cardio,Full Body,Forearms,Lower Chest,2,5,16,350.88,0.4409018
Rows,HIIT,"Upper Chest, Triceps",Arms,Triceps,3,5,16,345.3,0.4409018
Kettlebell Swings,Cardio,"Back, Core, Shoulders",Chest,Lateral,2,5,18,333.1,0.44089952
Windshield Wipers,Cardio,"Core, Obliques",Legs,Posterior,2,5,20,340.62,0.44089934
Bear Crawls,HIIT,Quadriceps,Abs,Upper,3,4,22,359.21,0.44089854
Bear Crawls,HIIT,Quadriceps,Abs,Upper,3,4,18,353.4,0.44089854
Glute Bridges,HIIT,"Quadriceps, Calves, Glutes",Legs,Grip Strength,3,5,22,348.06,0.44089496
Lateral Raises,HIIT,"Lower Chest, Triceps",Arms,Lats,3,5,20,374.03,0.44089365
Wall Angels,Cardio,"Legs, Shoulders, Core",Arms,Lateral,2,5,25,342.61,0.4408903
Pull-ups,HIIT,"Shoulders, Triceps",Chest,Quads,3,4,15,339.03,0.44088995
Pistol Squats,Cardio,"Chest, Triceps, Shoulders",Forearms,Lats,2,4,22,341.48,0.44088888
Bulgarian Split Squats,Cardio,"Glutes, Hamstrings, Core",Back,Wrist Extensors,2,4,24,365.26,0.4408843
Windshield Wipers,HIIT,"Triceps, Chest",Abs,Posterior,3,5,23,345.83,0.44088304
Superman,HIIT,"Glutes, Hamstrings",Back,Lateral,3,5,18,350.48,0.440883
Mountain Climbers,Cardio,"Shoulders, Triceps",Legs,Upper,2,5,25,353.3,0.44088167
Incline Push-ups,HIIT,"Lower Back, Glutes",Back,Upper,3,5,21,357.58,0.44088107
Box Jumps,HIIT,"Lower Abs, Hip Flexors",Arms,Lower,3,5,21,337.24,0.44087967
Plyo Squats,HIIT,"Quadriceps, Calves, Glutes",Abs,Wrist Extensors,3,4,15,361.87,0.44087675
Push Ups,Cardio,"Lower Chest, Triceps",Shoulders,Grip Strength,2,5,24,349.84,0.440875
Incline Push-ups,HIIT,"Back, Core, Shoulders",Shoulders,Lower,3,4,17,344.48,0.4408722
Plyo Squats,Strength,"Back, Hamstrings, Glutes",Arms,Middle,2,3,10,128.75,0.4408704
Box Jumps,Cardio,Shoulders,Shoulders,Wrist Extensors,2,5,15,366.75,0.4408703
Plyo Squats,Strength,"Core, Shoulders, Hips",Chest,Triceps,2,5,18,329.0,0.44086918
Russian Twists,HIIT,"Core, Lower Back",Arms,Posterior,3,5,23,333.34,0.44086763
Mountain Climbers,Cardio,Full Core,Arms,Quads,2,5,24,339.26,0.4408645
Bicep Curls,Cardio,"Chest, Triceps, Shoulders",Legs,Lower Chest,2,5,23,334.49,0.4408608
Bear Crawls,HIIT,"Obliques, Core",Arms,Lower,3,4,21,364.78,0.44085965
Bicep Curls,Cardio,"Core, Shoulders, Legs",Arms,Grip Strength,2,5,23,333.41,0.4408564
Leg Press,Cardio,"Obliques, Core",Shoulders,Grip Strength,2,5,25,354.62,0.44085497
Plank,Cardio,"Obliques, Core",Legs,Grip Strength,2,3,20,194.91,0.44085076
Leg Press,Cardio,"Full Body, Core, Shoulders",Back,Triceps,2,4,20,357.79,0.44084805
Wall Angels,Cardio,"Core, Lower Back",Back,Lateral,2,4,24,348.34,0.44084743
Rows,Cardio,"Glutes, Hamstrings",Forearms,Quads,2,5,19,355.89,0.44084406
Seated Rows,HIIT,"Quadriceps, Hamstrings, Glutes",Legs,Lower,3,5,17,352.04,0.44084167
Dead Bugs,Strength,Quadriceps,Back,Wrist Flexors,2,4,10,280.1,0.44084057
Step-ups,HIIT,"Quadriceps, Hamstrings, Glutes",Abs,Triceps,3,4,20,345.35,0.44083795
Burpees,HIIT,"Chest, Triceps",Forearms,Grip Strength,3,4,15,357.44,0.44083244
Tricep Dips,HIIT,"Shoulders, Triceps",Forearms,Grip Strength,3,4,20,365.59,0.44083244
Dragon Flags,HIIT,Quadriceps,Abs,Middle,3,4,24,344.7,0.4408272
Flutter Kicks,Cardio,"Back, Core, Shoulders",Arms,Lower,2,3,12,200.89,0.44082052
Squats,HIIT,Triceps,Back,Wrist Flexors,3,4,20,335.11,0.44081965
Renegade Rows,HIIT,"Chest, Triceps",Arms,Lower Chest,3,4,22,327.9,0.4408152
Burpees,HIIT,"Back, Biceps",Arms,Lower Chest,3,4,16,350.69,0.4408152
Leg Press,Cardio,"Biceps, Forearms",Legs,Anterior,2,5,19,338.41,0.4408146
Plyo Squats,Strength,"Core, Shoulders, Hips",Abs,Lats,2,4,23,351.39,0.44081378
Kettlebell Swings,Cardio,Core,Abs,Lower Chest,2,4,19,342.65,0.4408133
Push Ups,HIIT,"Triceps, Chest",Forearms,Lower,3,5,15,347.41,0.4408071
Seated Rows,HIIT,"Chest, Triceps",Legs,Posterior,3,4,18,364.85,0.44080672
Burpees,Cardio,"Core, Lower Back",Arms,Wrist Extensors,2,5,23,373.96,0.44080603
Bench Press,HIIT,"Core, Lower Back",Back,Grip Strength,3,4,18,342.03,0.44079757
Push Ups,Cardio,"Shoulders, Triceps",Back,Anterior,2,5,25,354.81,0.4407973
Incline Push-ups,Cardio,Shoulders,Legs,Posterior,2,5,23,336.43,0.44079605
Tricep Dips,Cardio,"Lower Back, Glutes",Legs,Lower Chest,2,5,22,329.16,0.44079474
Shoulder Press,HIIT,Full Core,Back,Lower,3,4,19,339.39,0.44078726
Flutter Kicks,HIIT,"Core, Obliques",Shoulders,Quads,3,5,21,344.71,0.44078547
Dead Bugs,Strength,"Upper Back, Rear Deltoids",Arms,Lateral,2,5,22,330.43,0.44078016
Squats,HIIT,"Shoulders, Upper Back",Abs,Posterior,3,4,19,345.82,0.44077304
Kettlebell Swings,Cardio,"Core, Shoulders, Hips",Shoulders,Lats,2,5,18,337.26,0.44077283
Incline Push-ups,HIIT,"Back, Core, Shoulders",Arms,Posterior,3,4,18,329.42,0.44077167
Plyo Squats,Strength,"Core, Shoulders, Legs",Arms,Lateral,2,5,21,347.22,0.4407685
Push-ups,Strength,"Quadriceps, Calves, Glutes",Chest,Posterior,2,4,25,339.0,0.44076607
Plyo Squats,Strength,Quadriceps,Legs,Quads,2,4,21,367.26,0.44076422
Scissors Kicks,HIIT,Triceps,Legs,Posterior,3,4,21,361.41,0.44076225
Shoulder Press,HIIT,"Back, Core, Shoulders",Forearms,Lateral,3,4,23,361.24,0.44076046
Dips,HIIT,"Back, Hamstrings, Glutes",Arms,Lateral,3,5,23,357.93,0.4407586
Superman,Cardio,"Chest, Triceps, Shoulders",Shoulders,Lats,2,4,15,340.83,0.44075802
Kettlebell Swings,Cardio,"Legs, Core",Back,Wrist Extensors,2,4,16,328.06,0.44075492
Prone Cobras,Cardio,"Lower Abs, Hip Flexors",Back,Lower Chest,2,4,20,365.28,0.44075468
Bench Press,HIIT,"Back, Hamstrings, Glutes",Abs,Quads,3,5,23,338.14,0.44075465
Bicycle Crunches,Strength,"Quadriceps, Glutes",Abs,Lower,3,4,21,341.84,0.44075277
Kettlebell Swings,HIIT,Lower Abs,Back,Lateral,3,4,21,358.33,0.44075
Scissors Kicks,HIIT,"Quadriceps, Hamstrings, Glutes",Legs,Lats,3,5,18,366.56,0.4407485
Plyometric Push-ups,HIIT,"Quadriceps, Hamstrings, Glutes",Back,Lats,3,3,12,159.67,0.44074777
Glute Bridges,Cardio,"Chest, Triceps, Shoulders",Abs,Lats,2,4,15,333.7,0.44074747
Incline Push-ups,Cardio,"Core, Obliques",Legs,Lower Chest,2,5,24,340.12,0.4407455
Wall Angels,HIIT,"Upper Chest, Triceps",Forearms,Middle,3,5,20,337.92,0.44074535
Scissors Kicks,Cardio,"Core, Lower Back",Chest,Lower Chest,2,4,21,341.1,0.44074273
Decline Push-ups,Cardio,"Core, Obliques",Shoulders,Lower Chest,2,5,16,366.08,0.4407402
Push Ups,HIIT,Core,Back,Lats,3,3,10,155.23,0.44073772
Russian Twists,Strength,"Quadriceps, Glutes",Legs,Posterior,3,5,16,360.65,0.44073254
Deadlifts,HIIT,"Quadriceps, Glutes",Forearms,Anterior,3,4,22,343.77,0.44073218
Thrusters,HIIT,Quadriceps,Forearms,Grip Strength,3,5,18,362.03,0.44072506
Tricep Extensions,Strength,Core,Arms,Upper,3,5,23,360.63,0.44072345
Step-ups,HIIT,"Triceps, Chest",Legs,Lower,3,5,21,343.88,0.4407204
Bicep Curls,Cardio,"Triceps, Chest",Legs,Wrist Extensors,2,4,15,335.07,0.44071957
Tricep Extensions,Strength,Shoulders,Legs,Lower,3,4,18,361.18,0.44071874
Thrusters,Cardio,"Glutes, Hamstrings, Core",Shoulders,Middle,2,4,15,339.21,0.44071698
Decline Push-ups,Cardio,Full Core,Abs,Lower,2,5,21,369.65,0.44071588
Incline Push-ups,Cardio,"Lower Abs, Hip Flexors",Arms,Lower Chest,2,5,19,364.96,0.44071332
Leg Raises,HIIT,"Shoulders, Triceps",Abs,Grip Strength,3,4,21,337.97,0.44071233
Lat Pulldowns,Cardio,"Glutes, Hamstrings, Core",Chest,Wrist Extensors,2,4,17,353.57,0.44071174
Lateral Raises,HIIT,"Lower Abs, Hip Flexors",Abs,Anterior,3,5,15,338.02,0.4407102
Flutter Kicks,Cardio,Shoulders,Legs,Posterior,2,5,19,370.57,0.4407098
Mountain Climbers,HIIT,"Quadriceps, Calves, Glutes",Shoulders,Wrist Flexors,3,4,17,360.64,0.44070822
Push Ups,Cardio,"Back, Hamstrings, Glutes",Arms,Lateral,2,4,19,359.46,0.4407036
Decline Push-ups,HIIT,"Upper Chest, Triceps",Legs,Anterior,3,4,24,353.75,0.44070292
Russian Twists,HIIT,Triceps,Legs,Triceps,3,4,20,344.98,0.44070292
Pistol Squats,Strength,"Quadriceps, Glutes",Shoulders,Lats,3,5,20,350.66,0.44070065
Plyo Squats,Strength,"Legs, Core",Legs,Upper,2,3,8,280.5,0.4406968
Dips,HIIT,"Shoulders, Triceps",Back,Posterior,3,5,23,339.88,0.44069678
Burpees,Cardio,"Back, Core, Shoulders",Abs,Lats,2,4,21,353.19,0.44069505
Push-ups,HIIT,"Lower Chest, Triceps",Arms,Lower,3,5,19,345.38,0.4406942
Deadlift,HIIT,"Core, Obliques",Forearms,Posterior,3,4,15,341.75,0.44069302
Bicycle Crunches,Cardio,"Chest, Triceps",Forearms,Lats,2,4,17,344.45,0.44069192
Thrusters,Cardio,"Shoulders, Upper Back",Legs,Upper,2,5,24,371.26,0.44069153
Jumping Jacks,HIIT,"Obliques, Core",Arms,Posterior,3,4,25,334.18,0.44068328
Lateral Raises,HIIT,"Back, Biceps",Forearms,Middle,3,4,21,327.08,0.4406832
Lunges,HIIT,"Chest, Triceps, Shoulders",Back,Posterior,3,4,20,365.39,0.44067737
Burpees,Cardio,"Back, Core, Shoulders",Arms,Lower,2,4,16,353.55,0.44067496
Jumping Jacks,Cardio,"Triceps, Chest",Legs,Lats,2,5,16,344.3,0.4406743
Burpees,HIIT,"Quadriceps, Hamstrings, Glutes",Arms,Lower Chest,3,5,15,337.22,0.4406738
Deadlifts,Cardio,"Lower Back, Glutes",Back,Wrist Extensors,2,5,24,355.34,0.44067347
Superman,HIIT,"Back, Hamstrings, Glutes",Arms,Lower Chest,3,4,20,349.67,0.44067186
Renegade Rows,Cardio,"Back, Core, Shoulders",Legs,Triceps,2,4,8,315.21,0.44067103
Face Pulls,HIIT,"Shoulders, Triceps",Legs,Quads,3,4,23,351.19,0.44066244
Plyo Squats,Strength,"Core, Shoulders, Legs",Arms,Quads,2,4,21,359.21,0.44066185
Dragon Flags,HIIT,"Chest, Triceps, Shoulders",Abs,Posterior,3,5,16,342.15,0.4406605
Bear Crawls,HIIT,Full Body,Chest,Anterior,3,5,15,327.19,0.44065952
Plyometric Push-ups,Cardio,Full Core,Legs,Lower,2,5,15,365.16,0.4406562
Push Ups,HIIT,Shoulders,Abs,Upper,3,4,24,361.77,0.44065422
Tricep Dips,HIIT,"Upper Chest, Triceps",Forearms,Posterior,3,4,19,360.89,0.4406529
Pistol Squats,Cardio,"Core, Shoulders, Hips",Forearms,Lower,2,5,22,360.21,0.44064927
Incline Push-ups,Cardio,"Chest, Triceps, Shoulders",Shoulders,Lats,2,4,21,343.18,0.44064444
Mountain Climbers,Cardio,"Full Body, Core, Shoulders",Arms,Upper,2,5,20,349.52,0.44064194
Mountain Climbers,HIIT,"Glutes, Hamstrings",Abs,Triceps,3,4,15,362.5,0.44064096
Pistol Squats,HIIT,"Chest, Triceps",Legs,Wrist Flexors,3,5,24,332.53,0.44064045
Tricep Extensions,Strength,"Core, Shoulders, Hips",Arms,Triceps,3,3,20,189.63,0.44063944
Deadlift,Cardio,"Triceps, Chest",Back,Posterior,2,4,19,351.66,0.44063744
Wall Angels,HIIT,Shoulders,Forearms,Triceps,3,5,16,366.14,0.44063368
Deadlift,Cardio,"Full Body, Core, Shoulders",Back,Quads,2,5,18,369.73,0.4406316
Step-ups,HIIT,"Full Body, Core, Shoulders",Forearms,Triceps,3,5,24,348.45,0.44062164
Shoulder Press,HIIT,"Back, Hamstrings, Glutes",Abs,Lats,3,5,15,350.81,0.4406208
Leg Press,Cardio,"Back, Biceps",Shoulders,Posterior,2,5,18,345.86,0.4406204
Rows,HIIT,Full Body,Chest,Posterior,3,4,19,325.42,0.44061616
Kettlebell Swings,HIIT,Quadriceps,Back,Triceps,3,4,19,331.03,0.4406155
Jumping Jacks,Cardio,"Core, Obliques",Arms,Lower Chest,2,4,15,342.03,0.44061318
Face Pulls,HIIT,Triceps,Back,Triceps,3,5,23,333.79,0.44060227
Dragon Flags,HIIT,"Quadriceps, Hamstrings, Glutes",Shoulders,Lower Chest,3,5,24,355.46,0.44059795
Plyo Squats,HIIT,"Lower Abs, Hip Flexors",Arms,Anterior,3,5,21,354.9,0.44059634
Rows,HIIT,"Back, Hamstrings, Glutes",Abs,Wrist Flexors,3,5,21,337.51,0.44059297
Tricep Dips,HIIT,"Core, Obliques",Back,Grip Strength,3,4,24,335.55,0.44059289
Deadlifts,Strength,"Quadriceps, Glutes",Shoulders,Lower Chest,3,4,22,360.64,0.4405897
Tricep Dips,HIIT,"Core, Obliques",Forearms,Anterior,3,4,17,369.82,0.44058922
Leg Press,Cardio,Triceps,Legs,Lateral,2,4,16,361.68,0.4405833
Deadlifts,Strength,Core,Arms,Wrist Extensors,3,5,15,356.51,0.44058082
Jumping Jacks,Cardio,Triceps,Shoulders,Lower Chest,2,4,25,336.08,0.4405708
Pistol Squats,HIIT,"Glutes, Hamstrings",Shoulders,Lateral,3,4,17,340.73,0.44057018
Push Ups,Cardio,Full Body,Back,Lateral,2,5,22,364.82,0.44056597
Turkish Get-ups,Strength,"Rear Deltoids, Upper Back",Back,Wrist Extensors,3,5,19,368.85,0.44056362
Flutter Kicks,HIIT,"Core, Lower Back",Legs,Anterior,3,4,15,362.69,0.44056335
Pistol Squats,Cardio,Full Core,Arms,Grip Strength,2,5,16,331.59,0.44056064
Deadlifts,HIIT,"Lower Back, Glutes",Shoulders,Lower,3,5,25,366.42,0.44055805
Leg Raises,HIIT,"Chest, Triceps, Shoulders",Abs,Triceps,3,4,19,360.5,0.4405567
Tricep Dips,HIIT,"Back, Biceps",Arms,Quads,3,5,17,342.51,0.44055554
Renegade Rows,HIIT,"Chest, Triceps",Arms,Quads,3,5,24,370.36,0.44055554
Tricep Dips,Cardio,Core,Forearms,Wrist Extensors,2,5,25,361.26,0.44055533
Squats,HIIT,"Quadriceps, Hamstrings, Glutes",Chest,Middle,3,5,21,348.89,0.4405472
Resistance Band Pull-Aparts,Strength,"Lower Chest, Triceps",Back,Grip Strength,3,4,18,361.31,0.4405401
Flutter Kicks,Cardio,"Core, Obliques",Forearms,Lower Chest,2,4,19,344.73,0.4405371
Scissors Kicks,Cardio,"Biceps, Forearms",Shoulders,Lower Chest,2,5,20,365.87,0.44053552
Bird Dogs,HIIT,"Shoulders, Triceps",Shoulders,Lower,3,5,16,334.17,0.44053552
Lunges,HIIT,Quadriceps,Forearms,Triceps,3,4,21,339.95,0.44053438
Glute Bridges,Cardio,"Lower Abs, Hip Flexors",Back,Upper,2,4,25,351.95,0.44053185
Plyo Squats,Strength,"Obliques, Core",Arms,Anterior,2,5,23,373.89,0.44053036
Jumping Jacks,HIIT,"Core, Obliques",Legs,Wrist Flexors,3,5,17,337.55,0.4405298
Lunges,Cardio,Shoulders,Shoulders,Upper,2,4,19,351.68,0.44052798
Decline Push-ups,HIIT,"Legs, Shoulders, Core",Shoulders,Lower,3,5,21,356.39,0.44052607
Lateral Raises,Cardio,"Back, Core, Shoulders",Legs,Triceps,2,4,24,335.34,0.44052586
Leg Press,Cardio,"Shoulders, Triceps",Shoulders,Wrist Flexors,2,5,21,335.41,0.44052544
Push-ups,HIIT,"Core, Shoulders, Legs",Abs,Wrist Extensors,3,4,21,353.27,0.440517
Shoulder Press,HIIT,"Back, Hamstrings, Glutes",Legs,Upper,3,4,21,370.5,0.44051442
Deadlift,HIIT,"Core, Shoulders, Legs",Shoulders,Grip Strength,3,5,23,351.48,0.44051298
Calf Raises,Cardio,"Lower Back, Glutes",Shoulders,Grip Strength,2,5,24,368.93,0.44050592
Deadlift,HIIT,"Obliques, Core",Shoulders,Triceps,3,5,19,364.46,0.44050363
Bench Press,Cardio,"Full Body, Core, Shoulders",Abs,Lower Chest,2,4,17,360.31,0.44050223
Jumping Jacks,HIIT,"Quadriceps, Hamstrings, Glutes",Shoulders,Wrist Flexors,3,5,24,354.44,0.44049835
Superman,HIIT,"Lower Abs, Hip Flexors",Abs,Triceps,3,5,20,364.71,0.44049773
Bicycle Crunches,Strength,"Full Body, Core, Shoulders",Legs,Lats,3,4,18,360.14,0.44049716
Zottman Curls,Cardio,Shoulders,Shoulders,Upper,2,4,22,332.18,0.4404887
Bicycle Crunches,Cardio,"Core, Shoulders, Hips",Shoulders,Lower Chest,2,5,18,360.14,0.44048798
Burpees,HIIT,"Back, Biceps",Shoulders,Quads,3,4,21,347.16,0.4404797
Inverted Rows,Cardio,"Chest, Triceps, Shoulders",Forearms,Lower Chest,2,4,17,325.99,0.44047913
Thrusters,HIIT,"Core, Obliques",Chest,Middle,3,3,10,354.54,0.44047683
Tricep Dips,HIIT,"Chest, Triceps",Legs,Lower Chest,3,5,17,354.93,0.44046918
Thrusters,Cardio,Shoulders,Chest,Upper,2,5,15,352.16,0.44045994
Lateral Raises,Cardio,Shoulders,Legs,Lats,2,4,18,350.57,0.44045436
Rows,HIIT,"Chest, Triceps",Legs,Middle,3,5,23,333.73,0.44045278
Incline Push-ups,HIIT,"Back, Core, Shoulders",Forearms,Grip Strength,3,5,19,360.63,0.44045135
Zottman Curls,Cardio,"Core, Shoulders, Hips",Legs,Upper,2,4,23,338.7,0.4404493
Renegade Rows,Cardio,"Rear Deltoids, Upper Back",Legs,Lower Chest,2,4,20,366.34,0.44044706
Prone Cobras,Cardio,"Rear Deltoids, Upper Back",Legs,Lower Chest,2,4,25,352.09,0.44044706
Kettlebell Swings,Cardio,Shoulders,Chest,Lower,2,5,21,343.49,0.44044676
Zottman Curls,HIIT,"Back, Core, Shoulders",Shoulders,Lateral,3,5,21,345.24,0.44044507
Shoulder Press,HIIT,"Upper Back, Rear Deltoids",Shoulders,Wrist Flexors,3,5,18,354.34,0.4404396
Incline Push-ups,HIIT,Triceps,Legs,Wrist Extensors,3,5,16,333.75,0.44043663
Dragon Flags,Cardio,"Core, Obliques",Back,Triceps,2,4,18,362.83,0.44043654
Face Pulls,Cardio,Full Core,Abs,Triceps,2,5,20,345.37,0.44043636
Lateral Raises,Cardio,Core,Shoulders,Lower Chest,2,4,23,330.05,0.4404348
Dragon Flags,HIIT,Triceps,Back,Grip Strength,3,4,15,365.83,0.44043267
Deadlift,HIIT,"Chest, Triceps",Back,Grip Strength,3,5,23,352.64,0.44043267
Bird Dogs,HIIT,Triceps,Back,Lower,3,3,12,164.95,0.4404295
Dragon Flags,HIIT,"Chest, Triceps",Abs,Anterior,3,4,23,368.53,0.440429
Seated Rows,HIIT,"Core, Lower Back",Abs,Lower,3,5,21,332.26,0.44042405
Step-ups,Cardio,"Lower Abs, Hip Flexors",Shoulders,Grip Strength,2,4,15,339.36,0.440418
Seated Rows,HIIT,"Core, Lower Back",Legs,Triceps,3,4,15,364.94,0.4404178
Wall Angels,HIIT,"Back, Biceps",Back,Upper,3,4,24,343.15,0.44041693
Deadlifts,Strength,"Biceps, Forearms",Legs,Wrist Extensors,3,4,20,355.2,0.44041592
Incline Push-ups,HIIT,"Core, Shoulders, Hips",Forearms,Posterior,3,4,23,363.54,0.44041562
Pistol Squats,HIIT,"Glutes, Hamstrings, Core",Chest,Grip Strength,3,3,5,239.66,0.4404143
Plank,Cardio,"Lower Chest, Triceps",Legs,Upper,2,4,21,350.32,0.44039977
Face Pulls,Cardio,"Back, Hamstrings, Glutes",Chest,Lower Chest,2,4,20,337.31,0.4403995
Lunges,Cardio,Core,Back,Wrist Extensors,2,4,15,357.29,0.44039857
Tricep Dips,HIIT,Quadriceps,Legs,Triceps,3,5,24,350.91,0.44039166
Thrusters,HIIT,"Chest, Triceps, Shoulders",Forearms,Quads,3,3,12,160.0,0.44038728
Shoulder Press,HIIT,"Quadriceps, Hamstrings, Glutes",Shoulders,Lats,3,4,18,367.07,0.44037902
Face Pulls,HIIT,"Legs, Shoulders, Core",Forearms,Posterior,3,3,12,250.12,0.44037864
Bicycle Crunches,Cardio,"Core, Shoulders, Legs",Chest,Lats,2,3,12,180.01,0.44037637
Plyometric Push-ups,HIIT,"Back, Hamstrings, Glutes",Back,Anterior,3,5,16,377.36,0.44037256
Leg Press,Cardio,"Shoulders, Upper Back",Chest,Wrist Extensors,2,5,15,366.17,0.4403704
Squats,HIIT,"Glutes, Hamstrings, Core",Back,Grip Strength,3,5,22,358.82,0.44036976
Tricep Dips,HIIT,Core,Legs,Wrist Flexors,3,4,24,347.87,0.44036958
Decline Push-ups,HIIT,"Chest, Triceps",Legs,Wrist Flexors,3,5,24,340.02,0.44036958
Dragon Flags,HIIT,"Obliques, Core",Forearms,Grip Strength,3,4,19,342.16,0.44036296
Rows,HIIT,"Full Body, Core, Shoulders",Legs,Lower,3,5,17,356.82,0.4403581
Dragon Flags,Cardio,"Triceps, Chest",Legs,Lower Chest,2,4,18,333.84,0.44035348
Push-ups,Cardio,Full Body,Legs,Lower Chest,2,4,16,355.03,0.44035348
Decline Push-ups,Cardio,"Biceps, Forearms",Forearms,Lower Chest,2,4,24,351.64,0.44035143
Plank,Cardio,"Back, Biceps",Back,Lateral,2,4,18,329.87,0.44035023
Glute Bridges,Cardio,Full Core,Arms,Wrist Flexors,2,4,22,337.02,0.4403467
Leg Raises,HIIT,"Obliques, Core",Arms,Lower Chest,3,4,22,362.26,0.44034573
Resistance Band Pull-Aparts,Cardio,"Legs, Shoulders, Core",Abs,Lower Chest,2,4,23,335.24,0.44034076
Incline Push-ups,Cardio,"Lower Abs, Hip Flexors",Forearms,Upper,2,4,19,359.43,0.44033802
Flutter Kicks,Cardio,"Core, Shoulders, Hips",Shoulders,Upper,2,5,15,336.8,0.44033659
Calf Raises,Cardio,"Glutes, Hamstrings, Core",Shoulders,Lats,2,5,19,369.62,0.44033617
Dragon Flags,HIIT,"Glutes, Hamstrings",Shoulders,Upper,3,4,16,335.88,0.4403359
Push-ups,Cardio,"Back, Core, Shoulders",Legs,Quads,2,4,23,364.02,0.44033307
Lateral Raises,Cardio,"Back, Core, Shoulders",Shoulders,Posterior,2,5,16,343.91,0.44033164
Frog Jumps,Cardio,"Back, Core, Shoulders",Forearms,Quads,2,5,21,328.04,0.440331
Tricep Dips,HIIT,Quadriceps,Shoulders,Wrist Flexors,3,5,18,328.4,0.4403285
Bear Crawls,HIIT,"Chest, Triceps, Shoulders",Abs,Lower Chest,3,5,23,360.82,0.44032297
Bench Press,HIIT,"Core, Lower Back",Abs,Anterior,3,4,17,334.89,0.44031847
Tricep Dips,Cardio,"Lower Abs, Hip Flexors",Shoulders,Lower,2,4,25,338.75,0.44031677
Decline Push-ups,HIIT,Core,Forearms,Lower Chest,3,4,15,366.33,0.44031537
